timestamp,emigId,apparentPower,currentL1,currentL2,currentL3,dcCurrent,dcVoltage,deviceTemperature,exportEnergy,importActivePower,mainsFrequency,poaIrradiance,powerFactor,reactivePower,stateCode,ts:,voltageL1L2,voltageL1L3,voltageL2L3
2025-08-13T00:00:00.000000Z,WETH:000274,,,,,,,,,,,-1.0,,,,2025-08-13T00:00:00.000000Z,,,
2025-08-13T00:30:00.000000Z,WETH:000274,,,,,,,,,,,-1.0,,,,2025-08-13T00:30:00.000000Z,,,
2025-08-13T01:00:00.000000Z,WETH:000274,,,,,,,,,,,-0.667,,,,2025-08-13T01:00:00.000000Z,,,
2025-08-13T01:30:00.000000Z,WETH:000274,,,,,,,,,,,-1.0,,,,2025-08-13T01:30:00.000000Z,,,
2025-08-13T02:00:00.000000Z,WETH:000274,,,,,,,,,,,-1.0,,,,2025-08-13T02:00:00.000000Z,,,
2025-08-13T02:30:00.000000Z,WETH:000274,,,,,,,,,,,-1.0,,,,2025-08-13T02:30:00.000000Z,,,
2025-08-13T03:00:00.000000Z,WETH:000274,,,,,,,,,,,-1.0,,,,2025-08-13T03:00:00.000000Z,,,
2025-08-13T03:30:00.000000Z,WETH:000274,,,,,,,,,,,-1.0,,,,2025-08-13T03:30:00.000000Z,,,
2025-08-13T04:00:00.000000Z,WETH:000274,,,,,,,,,,,-0.667,,,,2025-08-13T04:00:00.000000Z,,,
2025-08-13T04:30:00.000000Z,WETH:000274,,,,,,,,,,,2.667,,,,2025-08-13T04:30:00.000000Z,,,
2025-08-13T05:00:00.000000Z,WETH:000274,,,,,,,,,,,11.833,,,,2025-08-13T05:00:00.000000Z,,,
2025-08-13T05:30:00.000000Z,WETH:000274,,,,,,,,,,,44.333,,,,2025-08-13T05:30:00.000000Z,,,
2025-08-13T06:00:00.000000Z,WETH:000274,,,,,,,,,,,110.5,,,,2025-08-13T06:00:00.000000Z,,,
2025-08-13T06:30:00.000000Z,WETH:000274,,,,,,,,,,,189.333,,,,2025-08-13T06:30:00.000000Z,,,
2025-08-13T07:00:00.000000Z,WETH:000274,,,,,,,,,,,276.833,,,,2025-08-13T07:00:00.000000Z,,,
2025-08-13T07:30:00.000000Z,WETH:000274,,,,,,,,,,,371.333,,,,2025-08-13T07:30:00.000000Z,,,
