timestamp,ac_power,poa,pr,poa_bin,expected_clean_power,expected_clean_pr,expected_clean_model,pr_roll,pr_change,cleaning_event
2025-06-02 15:00:00+00:00,149.6,608.3081081081082,0.738522540241086,600.0,174.5,0.8215233804152788,,0.738522540241086,0.06680632776862705,False
2025-06-02 15:30:00+00:00,152.6,519.327027027027,0.8824078748252965,500.0,160.4,0.9317250040370878,,0.738522540241086,0.0,False
2025-06-02 16:00:00+00:00,140.0,442.0513513513514,0.9510669272590047,400.0,141.6,0.9713843521288711,,0.8824078748252965,0.1438853345842105,True
2025-06-02 16:30:00+00:00,131.2,403.3054054054055,0.9769122573448981,400.0,141.6,0.9713843521288711,,0.9510669272590047,0.06865905243370818,False
2025-06-02 17:00:00+00:00,94.2,349.3324324324324,0.8097813332508078,300.0,104.6,0.8966092470460009,,0.9510669272590047,0.0,False
2025-06-02 17:30:00+00:00,92.0,270.98918918918923,1.0195103247583648,200.0,74.5,1.0107809021016303,,0.9769122573448981,0.025845330085893403,False
2025-06-02 18:00:00+00:00,68.2,200.74864864864867,1.0202051479970622,200.0,74.5,1.0107809021016303,,1.0195103247583648,0.04259806741346672,False
2025-06-02 18:30:00+00:00,37.2,112.91351351351354,,100.0,,,,1.0198577363777135,0.0003474116193487031,False
2025-06-02 19:00:00+00:00,26.0,63.52702702702703,,0.0,,,,1.0202051479970622,0.0003474116193487031,False
2025-06-02 19:30:00+00:00,10.8,27.77567567567568,,0.0,,,,,,False
2025-06-02 20:00:00+00:00,4.0,5.5,,0.0,,,,,,False
2025-06-02 20:30:00+00:00,0.2,0.0,,0.0,,,,,,False
2025-06-02 22:30:00+00:00,0.0,0.0,,0.0,,,,,,False
2025-06-03 03:30:00+00:00,0.0,0.0,,0.0,,,,,,False
2025-06-03 04:00:00+00:00,0.0,3.5000000000000004,,0.0,,,,,,False
2025-06-03 04:30:00+00:00,0.0,10.621621621621625,,0.0,,,,,,False
2025-06-03 05:00:00+00:00,3.8,15.5,,0.0,,,,,,False
2025-06-03 05:30:00+00:00,5.8,31.5,,0.0,,,,,,False
2025-06-03 06:00:00+00:00,6.6,73.5,,0.0,,,,,,False
2025-06-03 06:30:00+00:00,9.0,113.36756756756758,,100.0,,,,,,False
2025-06-03 07:00:00+00:00,23.2,138.73513513513515,,100.0,,,,,,False
2025-06-03 07:30:00+00:00,29.0,179.5918918918919,,100.0,,,,,,False
2025-06-03 08:00:00+00:00,19.0,223.56216216216217,0.2552178620265373,200.0,74.5,1.0107809021016303,,0.2552178620265373,,False
2025-06-03 08:30:00+00:00,25.4,323.1702702702703,0.23602504095591997,300.0,104.6,0.8966092470460009,,0.24562145149122863,-0.009596410535308658,False
2025-06-03 09:00:00+00:00,70.2,479.68648648648656,0.439476234477474,400.0,141.6,0.9713843521288711,,0.2552178620265373,0.009596410535308658,False
2025-06-03 09:30:00+00:00,82.8,600.9486486486487,0.4137602259490625,600.0,174.5,0.8215233804152788,,0.4137602259490625,0.1585423639225252,True
2025-06-03 10:00:00+00:00,149.8,564.5945945945946,0.796766129461199,500.0,160.4,0.9317250040370878,,0.439476234477474,0.02571600852841155,False
2025-06-03 10:30:00+00:00,117.4,640.4918918918919,0.5504403053584004,600.0,174.5,0.8215233804152788,,0.5504403053584004,0.11096407088092636,True
2025-06-03 11:00:00+00:00,178.60000000000002,754.6702702702703,0.7106896315714916,700.0,201.7,0.8297765828493713,,0.7106896315714916,0.16024932621309118,True
2025-06-03 11:30:00+00:00,213.2,698.3648648648649,0.9167704053441005,600.0,174.5,0.8215233804152788,,0.7106896315714916,0.0,False
2025-06-03 12:00:00+00:00,146.4,746.2972972972973,0.5890945086251645,700.0,201.7,0.8297765828493713,,0.7106896315714916,0.0,False
2025-06-03 12:30:00+00:00,191.2,720.4243243243244,0.7969944306262616,700.0,201.7,0.8297765828493713,,0.7969944306262616,0.08630479905477006,True
2025-06-03 13:00:00+00:00,202.4,628.6810810810811,0.966798311733225,600.0,174.5,0.8215233804152788,,0.7969944306262616,0.0,False
2025-06-03 13:30:00+00:00,168.4,621.6081081081081,0.8135442557930003,600.0,174.5,0.8215233804152788,,0.8135442557930003,0.01654982516673864,False
2025-06-03 14:00:00+00:00,175.60000000000002,632.0351351351352,0.8343322989703408,600.0,174.5,0.8215233804152788,,0.8343322989703408,0.02078804317734051,False
2025-06-03 14:30:00+00:00,135.0,607.0675675675675,0.667809362687265,600.0,174.5,0.8215233804152788,,0.8135442557930003,-0.02078804317734051,False
2025-06-03 15:00:00+00:00,154.2,545.9054054054054,0.848247807180401,500.0,160.4,0.9317250040370878,,0.8343322989703408,0.02078804317734051,False
2025-06-03 15:30:00+00:00,151.2,420.4783783783784,1.0798511348078441,400.0,141.6,0.9713843521288711,,0.848247807180401,0.013915508210060268,False
2025-06-03 16:00:00+00:00,128.4,228.772972972973,1.6854507793240867,200.0,74.5,1.0107809021016303,,1.0798511348078441,0.23160332762744307,True
2025-06-03 16:30:00+00:00,75.2,299.1837837837838,0.7548063700839722,200.0,74.5,1.0107809021016303,,1.0798511348078441,0.0,False
2025-06-03 17:00:00+00:00,105.8,277.4621621621622,1.1450848477567483,200.0,74.5,1.0107809021016303,,1.1450848477567483,0.06523371294890423,False
2025-06-03 17:30:00+00:00,86.0,217.1540540540541,1.1892859167804093,200.0,74.5,1.0107809021016303,,1.1450848477567483,0.0,False
2025-06-03 18:00:00+00:00,64.8,142.02702702702706,,100.0,,,,1.167185382268579,0.022100534511830583,False
2025-06-03 18:30:00+00:00,43.6,86.66486486486485,,0.0,,,,1.1892859167804093,0.02210053451183036,False
2025-06-03 19:00:00+00:00,29.6,54.14594594594595,,0.0,,,,,,False
2025-06-03 19:30:00+00:00,10.2,19.254054054054052,,0.0,,,,,,False
2025-06-03 20:00:00+00:00,3.8,3.0,,0.0,,,,,,False
2025-06-03 20:30:00+00:00,0.0,0.0,,0.0,,,,,,False
2025-06-03 22:30:00+00:00,0.0,0.0,,0.0,,,,,,False
2025-06-04 03:30:00+00:00,0.0,0.5,,0.0,,,,,,False
2025-06-04 04:00:00+00:00,0.4,10.000000000000002,,0.0,,,,,,False
2025-06-04 04:30:00+00:00,6.4,34.50810810810812,,0.0,,,,,,False
2025-06-04 05:00:00+00:00,19.0,78.03783783783784,,0.0,,,,,,False
2025-06-04 05:30:00+00:00,34.6,129.40540540540542,,100.0,,,,,,False
2025-06-04 06:00:00+00:00,49.2,198.8567567567568,,100.0,,,,,,False
2025-06-04 06:30:00+00:00,67.2,270.11621621621623,0.747092509397023,200.0,74.5,1.0107809021016303,,0.747092509397023,,False
2025-06-04 07:00:00+00:00,95.8,354.318918918919,0.8119456013397949,300.0,104.6,0.8966092470460009,,0.7795190553684089,0.032426545971385945,False
2025-06-04 07:30:00+00:00,115.2,420.02972972972975,0.8236225235021974,400.0,141.6,0.9713843521288711,,0.8119456013397949,0.032426545971385945,False
