emigId,median_ratio,shading_loss_pct,energy_loss_kwh_per_Wm2,winter_data_points,avg_summer_power_per_irr,avg_winter_power_per_irr,n_hours,classification
INVERT:002946,0.8341720792106143,16.582792078938567,4.244004470333884,144,356.8256406322323,288.0582321286058,13,moderate shading
INVERT:002947,0.7520488060440004,24.79511939559996,6.803503545393807,142,414.6411677385968,306.7563618169721,13,moderate shading
INVERT:002948,0.7432375922683052,25.67624077316948,6.020177801775784,141,383.6555586143596,290.2846016484024,13,moderate shading
INVERT:002949,0.7764637281805878,22.353627181941217,5.484837383100831,144,372.7534508112776,292.92670331757415,13,moderate shading
INVERT:002950,0.6949668095438557,30.50331904561443,6.228611139764866,140,370.28639726306267,263.27473738838756,13,severe shading
INVERT:002951,0.710654988839199,28.934501116080103,6.5200110719180655,140,367.7568722196746,266.1959515075314,13,moderate shading
INVERT:002952,0.7663205333307763,23.367946666922368,5.646516459212961,141,392.4236551270277,302.3507566355603,13,moderate shading
INVERT:002953,0.5722533878216024,42.77466121783976,10.503141405955525,139,412.0085198952745,248.70052307448356,13,severe shading
INVERT:002954,0.7501634350351065,24.98365649648935,5.991903202151872,136,384.7924488829516,285.10969820428204,13,moderate shading
INVERT:002955,0.7559343395245428,24.40656604754572,5.7258774413509865,139,408.6566495605914,317.394230993374,13,moderate shading
INVERT:002956,0.7464155058785877,25.358449412141226,6.163448378057298,140,383.2271067681744,285.53186337600147,13,moderate shading
INVERT:002957,0.748173157983648,25.182684201635197,6.677963718815172,142,405.15655447318454,295.485169986234,13,moderate shading
INVERT:002958,0.7904627919362949,20.953720806370512,5.2141065686981936,138,373.6339696479991,286.808234721111,13,moderate shading
INVERT:002959,0.7876593202317512,21.23406797682488,6.575829864712704,137,398.8892266052895,291.68342541662435,13,moderate shading
INVERT:002960,0.7269922087350844,27.30077912649156,7.559303004779671,146,400.92687444947995,288.7359573695783,13,moderate shading
INVERT:002961,0.8332239829104725,16.67760170895275,4.580603196539313,142,403.9660970548341,330.3406720760665,13,moderate shading
INVERT:002962,0.7550990929858364,24.490090701416356,6.815424481776933,144,396.96671243484457,294.0277716330293,13,moderate shading
INVERT:002963,0.7847922223182711,21.520777768172895,6.124566829654652,139,396.9857651540373,303.82189738704415,13,moderate shading
INVERT:002964,0.8093853961441665,19.061460385583352,5.98565865669403,135,402.13095791615217,303.6398512139965,13,moderate shading
INVERT:002965,0.9488370205308112,5.11629794691888,1.4790840450613914,145,402.80828444782134,382.10330874687554,13,mild shading
INVERT:002966,0.7428519862624244,25.714801373757556,6.368838829006941,143,391.35819423309243,295.25508365585796,13,moderate shading
INVERT:002967,0.824618632028873,17.538136797112703,4.931056410698366,142,390.0166458844478,316.20312008810066,13,moderate shading
INVERT:002968,0.7685226696207611,23.14773303792389,6.122311180116038,142,369.2407126516842,276.28402009855733,13,moderate shading
