emigId,hour_float,I_summer,n_summer,I_winter,n_winter,ratio_winter_to_summer,delta
INVERT:002946,8.0,366.2543651281857,35,189.03004291845494,3,0.5161168327708425,-177.2243222097308
INVERT:002946,8.5,366.3016564952049,39,203.20754492785306,6,0.554754643678531,-163.09411156735183
INVERT:002946,9.0,371.66839486776644,36,234.2201049391536,8,0.6301856928741151,-137.44828992861284
INVERT:002946,9.5,337.70199282686485,39,286.30632418188543,12,0.847807624068925,-51.39566864497942
INVERT:002946,10.0,343.95795795795794,37,334.0862727381818,13,0.971299733030213,-9.871685219776168
INVERT:002946,10.5,357.41920693350187,42,321.28249566724435,15,0.8988954410808124,-36.13671126625752
INVERT:002946,11.0,335.45743214259704,41,285.2823198644851,14,0.8504277816781731,-50.17511227811195
INVERT:002946,11.5,354.2861931327325,44,374.75383202817636,16,1.057771483315399,20.467638895443883
INVERT:002946,12.0,356.41306889957673,42,322.4227613592606,14,0.9046322637796056,-33.99030754031611
INVERT:002946,12.5,355.51880427714326,42,296.563860162336,10,0.8341720792106143,-58.95494411480723
INVERT:002946,13.0,359.53542796983265,40,278.36072405727,10,0.7742233515875555,-81.17470391256268
INVERT:002946,13.5,374.12820320418905,42,274.7893048713489,9,0.7344789901374432,-99.33889833284013
INVERT:002946,14.0,362.1376453818385,39,263.7608836428477,11,0.7283442829168942,-98.37676173899081
INVERT:002946,14.5,363.24591961393844,42,263.3504324089252,6,0.7249921284423974,-99.89548720501324
INVERT:002946,15.0,367.2630810110814,39,209.57770175075999,6,0.5706473440613444,-157.6853792603214
INVERT:002947,8.0,439.0965899300194,32,184.87871700823945,4,0.42104339056175394,-254.21787292177993
INVERT:002947,8.5,444.5579954695476,38,214.6668068669729,6,0.4828769453133762,-229.89118860257472
INVERT:002947,9.0,430.2797751815861,39,280.2802903293813,9,0.6513908077856966,-149.99948485220483
INVERT:002947,9.5,448.00721112800943,41,361.7759997233172,12,0.8075227155661713,-86.2312114046922
INVERT:002947,10.0,402.049127343245,39,311.44975072539114,12,0.7746559550656463,-90.59937661785386
INVERT:002947,10.5,421.51235661043484,37,338.12481188512254,15,0.8021705807253956,-83.3875447253123
INVERT:002947,11.0,397.36336488445863,42,361.2617547282184,14,0.9091471098078266,-36.10161015624021
INVERT:002947,11.5,403.0699929304617,44,364.3283457088995,15,0.9038835738182923,-38.741647221562175
INVERT:002947,12.0,376.89997094033106,42,305.10526315789474,13,0.8095125674769487,-71.79470778243632
INVERT:002947,12.5,392.1565702209,38,294.920880416938,10,0.7520488060440004,-97.23568980396198
INVERT:002947,13.0,432.7490636878681,44,289.71587125416204,9,0.669477754117401,-143.03319243370606
INVERT:002947,13.5,423.13192896981377,44,294.2961289543093,9,0.6955186049675406,-128.83580001550445
INVERT:002947,14.0,406.64577431303474,42,295.55796180223945,12,0.7268192133596839,-111.08781251079529
INVERT:002947,14.5,425.2310595050512,40,282.80632411067194,7,0.6650650694233039,-142.42473539437924
INVERT:002947,15.0,431.23898488656334,40,208.20932082409277,5,0.4828165544422239,-223.02966406247057
INVERT:002948,8.0,373.8680666761834,38,129.29589275356506,4,0.3458329402215341,-244.57217392261833
INVERT:002948,8.5,388.54754098360655,35,198.81057268722466,5,0.5116763116913222,-189.7369682963819
INVERT:002948,9.0,384.7853553564526,39,246.61495854884703,8,0.6409156562634536,-138.17039680760558
INVERT:002948,9.5,390.1129411764706,41,280.72050117372345,12,0.7195877694473544,-109.39244000274715
INVERT:002948,10.0,385.8921715779858,41,332.85178875638843,13,0.8625512857524287,-53.04038282159735
INVERT:002948,10.5,385.9461502450254,39,381.53431019608604,15,0.9885687678290392,-4.411840048939382
INVERT:002948,11.0,379.24805738194857,43,302.0484041880618,14,0.7964402145476585,-77.19965319388677
INVERT:002948,11.5,377.1339059382094,40,287.36387826026964,16,0.7619677619422319,-89.77002767793977
INVERT:002948,12.0,397.8947190657092,42,315.4780195585855,13,0.79286807399544,-82.41669950712367
INVERT:002948,12.5,364.72050450762356,42,296.0527178300108,10,0.811724907623949,-68.66778667761275
INVERT:002948,13.0,387.7374470230768,44,287.7990264843853,8,0.7422523377455892,-99.9384205386915
INVERT:002948,13.5,371.8346973997629,40,276.3615252172136,9,0.7432375922683052,-95.47317218254926
INVERT:002948,14.0,394.6722306532938,42,282.56135401974615,11,0.7159392834708118,-112.11087663354766
INVERT:002948,14.5,383.40305010893246,41,257.4695821688133,6,0.6715376471200766,-125.93346794011916
INVERT:002948,15.0,384.14103155218345,40,226.84375502709997,6,0.5905220645409874,-157.29727652508348
INVERT:002949,8.0,386.32672417595256,38,158.3986791361558,4,0.4100122233946547,-227.92804503979676
INVERT:002949,8.5,374.58676926265264,35,228.69785310191003,5,0.6105337184014413,-145.8889161607426
INVERT:002949,9.0,369.3261021269333,36,244.30602782071097,9,0.6614913660685312,-125.02007430622231
INVERT:002949,9.5,365.58383833688725,41,295.4984741636474,10,0.808291951602478,-70.08536417323984
INVERT:002949,10.0,395.3334121136113,41,300.34002677376174,13,0.7597132384232925,-94.99338533984957
INVERT:002949,10.5,377.5495118997417,40,278.2768126551866,15,0.7370604487209165,-99.2726992445551
INVERT:002949,11.0,358.13124485156203,43,308.8218605010902,14,0.8623147657197306,-49.30938435047182
INVERT:002949,11.5,367.5150372396165,42,335.53615001611587,16,0.9129861802017895,-31.978887223500635
INVERT:002949,12.0,369.54649454426954,43,307.8788749445828,14,0.8331262222477953,-61.66761959968676
INVERT:002949,12.5,371.02972004000645,42,307.36348133812277,10,0.8284066335844502,-63.666238701883685
