timestamp,emigId,apparentPower,currentL1,currentL2,currentL3,dcCurrent,dcVoltage,deviceTemperature,exportEnergy,importActivePower,mainsFrequency,poaIrradiance,powerFactor,reactivePower,stateCode,ts:,voltageL1L2,voltageL1L3,voltageL2L3
2025-11-01T00:00:00.000000Z,WETH:000274,,,,,,,,,,,0.0,,,,2025-11-01T00:00:00.000000Z,,,
2025-11-01T00:30:00.000000Z,WETH:000274,,,,,,,,,,,-0.333,,,,2025-11-01T00:30:00.000000Z,,,
2025-11-01T01:00:00.000000Z,WETH:000274,,,,,,,,,,,-0.5,,,,2025-11-01T01:00:00.000000Z,,,
2025-11-01T01:30:00.000000Z,WETH:000274,,,,,,,,,,,-0.333,,,,2025-11-01T01:30:00.000000Z,,,
2025-11-01T02:00:00.000000Z,WETH:000274,,,,,,,,,,,-1.0,,,,2025-11-01T02:00:00.000000Z,,,
2025-11-01T02:30:00.000000Z,WETH:000274,,,,,,,,,,,-0.833,,,,2025-11-01T02:30:00.000000Z,,,
2025-11-01T03:00:00.000000Z,WETH:000274,,,,,,,,,,,0.0,,,,2025-11-01T03:00:00.000000Z,,,
2025-11-01T03:30:00.000000Z,WETH:000274,,,,,,,,,,,-0.5,,,,2025-11-01T03:30:00.000000Z,,,
2025-11-01T04:00:00.000000Z,WETH:000274,,,,,,,,,,,0.0,,,,2025-11-01T04:00:00.000000Z,,,
2025-11-01T04:30:00.000000Z,WETH:000274,,,,,,,,,,,-0.5,,,,2025-11-01T04:30:00.000000Z,,,
2025-11-01T05:00:00.000000Z,WETH:000274,,,,,,,,,,,-0.5,,,,2025-11-01T05:00:00.000000Z,,,
2025-11-01T05:30:00.000000Z,WETH:000274,,,,,,,,,,,-0.167,,,,2025-11-01T05:30:00.000000Z,,,
2025-11-01T06:00:00.000000Z,WETH:000274,,,,,,,,,,,0.0,,,,2025-11-01T06:00:00.000000Z,,,
2025-11-01T06:30:00.000000Z,WETH:000274,,,,,,,,,,,0.0,,,,2025-11-01T06:30:00.000000Z,,,
2025-11-01T07:00:00.000000Z,WETH:000274,,,,,,,,,,,0.333,,,,2025-11-01T07:00:00.000000Z,,,
2025-11-01T07:30:00.000000Z,WETH:000274,,,,,,,,,,,5.333,,,,2025-11-01T07:30:00.000000Z,,,
2025-11-01T08:00:00.000000Z,WETH:000274,,,,,,,,,,,24.333,,,,2025-11-01T08:00:00.000000Z,,,
2025-11-01T08:30:00.000000Z,WETH:000274,,,,,,,,,,,45.833,,,,2025-11-01T08:30:00.000000Z,,,
2025-11-01T09:00:00.000000Z,WETH:000274,,,,,,,,,,,24.0,,,,2025-11-01T09:00:00.000000Z,,,
2025-11-01T09:30:00.000000Z,WETH:000274,,,,,,,,,,,52.0,,,,2025-11-01T09:30:00.000000Z,,,
2025-11-01T10:00:00.000000Z,WETH:000274,,,,,,,,,,,238.667,,,,2025-11-01T10:00:00.000000Z,,,
2025-11-01T10:30:00.000000Z,WETH:000274,,,,,,,,,,,148.0,,,,2025-11-01T10:30:00.000000Z,,,
2025-11-01T11:00:00.000000Z,WETH:000274,,,,,,,,,,,233.333,,,,2025-11-01T11:00:00.000000Z,,,
2025-11-01T11:30:00.000000Z,WETH:000274,,,,,,,,,,,183.333,,,,2025-11-01T11:30:00.000000Z,,,
2025-11-01T12:00:00.000000Z,WETH:000274,,,,,,,,,,,308.0,,,,2025-11-01T12:00:00.000000Z,,,
2025-11-01T12:30:00.000000Z,WETH:000274,,,,,,,,,,,174.833,,,,2025-11-01T12:30:00.000000Z,,,
2025-11-01T13:00:00.000000Z,WETH:000274,,,,,,,,,,,56.667,,,,2025-11-01T13:00:00.000000Z,,,
2025-11-01T13:30:00.000000Z,WETH:000274,,,,,,,,,,,99.667,,,,2025-11-01T13:30:00.000000Z,,,
2025-11-01T14:00:00.000000Z,WETH:000274,,,,,,,,,,,105.0,,,,2025-11-01T14:00:00.000000Z,,,
2025-11-01T14:30:00.000000Z,WETH:000274,,,,,,,,,,,60.167,,,,2025-11-01T14:30:00.000000Z,,,
2025-11-01T15:00:00.000000Z,WETH:000274,,,,,,,,,,,25.0,,,,2025-11-01T15:00:00.000000Z,,,
2025-11-01T15:30:00.000000Z,WETH:000274,,,,,,,,,,,57.167,,,,2025-11-01T15:30:00.000000Z,,,
